team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,byes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,16,1,0.1,5.7,mandatory,Aniket Verma,YS Chahal,H Klaasen,,6,0,6,,,,,,,,,,,,,,,,,188
Sunrisers Hyderabad,16,2,0.1,5.7,mandatory,Aniket Verma,YS Chahal,H Klaasen,,2,0,2,,,,,,,,,,,,,,,,,190
Sunrisers Hyderabad,16,3,0.1,5.7,mandatory,Aniket Verma,YS Chahal,H Klaasen,,4,0,4,,,,,,,,,,,,,,,,,194
Sunrisers Hyderabad,16,4,0.1,5.7,mandatory,Aniket Verma,YS Chahal,H Klaasen,,1,0,1,,,,,,,,Aniket Verma,run out,,,,,P Simran Singh,,,195
Sunrisers Hyderabad,16,5,0.1,5.7,mandatory,Aniket Verma,YS Chahal,H Klaasen,,1,0,1,,,,,,,,Aniket Verma,run out,,,,,MP Stoinis,,,196
Sunrisers Hyderabad,16,6,0.1,5.7,mandatory,S Arora,YS Chahal,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,197
Sunrisers Hyderabad,16,7,0.1,5.7,mandatory,H Klaasen,YS Chahal,S Arora,,1,0,1,,,,,,,,,,,,,,,,,198
Sunrisers Hyderabad,17,1,0.1,5.7,mandatory,H Klaasen,M Jansen,S Arora,1.0,0,1,1,,,,,,,,,,,,,,,,,199
Sunrisers Hyderabad,17,2,0.1,5.7,mandatory,H Klaasen,M Jansen,S Arora,,1,0,1,,,,,,,,,,,,,,,,,200
Sunrisers Hyderabad,17,3,0.1,5.7,mandatory,S Arora,M Jansen,H Klaasen,,0,0,0,,,,,,,,,,,,,,,,,200
Sunrisers Hyderabad,17,4,0.1,5.7,mandatory,S Arora,M Jansen,H Klaasen,,0,0,0,,,,,,,,,,,,,,,,,200
Sunrisers Hyderabad,17,5,0.1,5.7,mandatory,S Arora,M Jansen,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,201
Sunrisers Hyderabad,17,6,0.1,5.7,mandatory,H Klaasen,M Jansen,S Arora,,0,0,0,,,,,,,,,,,,,,,,,201
Sunrisers Hyderabad,17,7,0.1,5.7,mandatory,H Klaasen,M Jansen,S Arora,,6,0,6,,,,,,,,,,,,,,,,,207
Sunrisers Hyderabad,18,1,0.1,5.7,mandatory,S Arora,Arshdeep Singh,H Klaasen,,6,0,6,,,,,,,,,,,,,,,,,213
Sunrisers Hyderabad,18,2,0.1,5.7,mandatory,S Arora,Arshdeep Singh,H Klaasen,,0,0,0,,,,,,,,,,,,,,,,,213
Sunrisers Hyderabad,18,3,0.1,5.7,mandatory,S Arora,Arshdeep Singh,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,214
