team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,14,6,0.1,5.6,mandatory,V Kohli,YS Chahal,VR Iyer,0,0,0,,,,,,,,,,,V Kohli,caught,,,,,Priyansh Arya,,,157
Royal Challengers Bengaluru,15,1,0.1,5.6,mandatory,VR Iyer,Azmatullah Omarzai,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,158
Royal Challengers Bengaluru,15,2,0.1,5.6,mandatory,TH David,Azmatullah Omarzai,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,159
Royal Challengers Bengaluru,15,3,0.1,5.6,mandatory,VR Iyer,Azmatullah Omarzai,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,159
Royal Challengers Bengaluru,15,4,0.1,5.6,mandatory,VR Iyer,Azmatullah Omarzai,TH David,4,0,4,,,,,,,,,,,,,,,,,,,,163
Royal Challengers Bengaluru,15,5,0.1,5.6,mandatory,VR Iyer,Azmatullah Omarzai,TH David,4,0,4,,,,,,,,,,,,,,,,,,,,167
Royal Challengers Bengaluru,15,6,0.1,5.6,mandatory,VR Iyer,Azmatullah Omarzai,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,168
Royal Challengers Bengaluru,16,1,0.1,5.6,mandatory,VR Iyer,LH Ferguson,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,169
Royal Challengers Bengaluru,16,2,0.1,5.6,mandatory,TH David,LH Ferguson,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,170
Royal Challengers Bengaluru,16,3,0.1,5.6,mandatory,VR Iyer,LH Ferguson,TH David,6,0,6,,,,,,,,,,,,,,,,,,,,176
Royal Challengers Bengaluru,16,4,0.1,5.6,mandatory,VR Iyer,LH Ferguson,TH David,4,0,4,,,,,,,,,,,,,,,,,,,,180
Royal Challengers Bengaluru,16,5,0.1,5.6,mandatory,VR Iyer,LH Ferguson,TH David,0,1,1,1.0,,,,,,,,,,,,,,,,,,,181
Royal Challengers Bengaluru,16,6,0.1,5.6,mandatory,VR Iyer,LH Ferguson,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,181
Royal Challengers Bengaluru,16,7,0.1,5.6,mandatory,VR Iyer,LH Ferguson,TH David,6,0,6,,,,,,,,,,,,,,,,,,,,187
Royal Challengers Bengaluru,17,1,0.1,5.6,mandatory,TH David,Arshdeep Singh,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,188
Royal Challengers Bengaluru,17,2,0.1,5.6,mandatory,VR Iyer,Arshdeep Singh,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,189
Royal Challengers Bengaluru,17,3,0.1,5.6,mandatory,TH David,Arshdeep Singh,VR Iyer,6,0,6,,,,,,,,,,,,,,,,,,,,195
Royal Challengers Bengaluru,17,4,0.1,5.6,mandatory,TH David,Arshdeep Singh,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,196
Royal Challengers Bengaluru,17,5,0.1,5.6,mandatory,VR Iyer,Arshdeep Singh,TH David,4,0,4,,,,,,,,,,,,,,,,,,,,200
