team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,noballs,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,19,6,0.1,5.6,mandatory,PR Veer,PP Hinge,AJ Hosein,,4,0,4,,,,,,,,,,,,,,,,180
Chennai Super Kings,19,7,0.1,5.6,mandatory,PR Veer,PP Hinge,AJ Hosein,,0,0,0,,,,,,,,,,,,,,,,180
Chennai Super Kings,19,8,0.1,5.6,mandatory,PR Veer,PP Hinge,AJ Hosein,,0,0,0,,,,,,,PR Veer,caught and bowled,,,,,,,,180
Sunrisers Hyderabad,0,1,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,0,0,0,,,,,,,,,Mukesh Choudhary,Kartik Sharma,Chennai Super Kings,impact_player,,20.0,181.0,0
Sunrisers Hyderabad,0,2,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,0,0,0,,,,,,,,,TM Head,Sakib Hussain,Sunrisers Hyderabad,impact_player,,20.0,181.0,0
Sunrisers Hyderabad,0,3,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,4,0,4,,,,,,,,,,,,,,20.0,181.0,4
Sunrisers Hyderabad,0,4,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,0,0,0,,,,,,,,,,,,,,20.0,181.0,4
Sunrisers Hyderabad,0,5,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,0,0,0,,,,,,,,,,,,,,20.0,181.0,4
Sunrisers Hyderabad,0,6,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,4,0,4,,,,,,,,,,,,,,20.0,181.0,8
Sunrisers Hyderabad,0,7,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,0,1,1,,,,,,1.0,,,,,,,,20.0,181.0,9
Sunrisers Hyderabad,0,8,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,1,0,1,,,,,,,,,,,,,,20.0,181.0,10
Sunrisers Hyderabad,1,1,0.1,5.6,mandatory,Abhishek Sharma,SH Johnson,TM Head,,0,0,0,,,,,,,,,,,,,,20.0,181.0,10
Sunrisers Hyderabad,1,2,0.1,5.6,mandatory,Abhishek Sharma,SH Johnson,TM Head,,1,0,1,,,,,,,,,,,,,,20.0,181.0,11
