team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,1,2,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,26
Punjab Kings,1,3,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,26
Punjab Kings,1,4,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,26
Punjab Kings,1,5,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,26
Punjab Kings,1,6,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,26
Punjab Kings,2,1,0.1,5.6,mandatory,P Simran Singh,AM Ghazanfar,Priyansh Arya,1,0,1,,,,,,,,,,,20.0,196.0,27
Punjab Kings,2,2,0.1,5.6,mandatory,Priyansh Arya,AM Ghazanfar,P Simran Singh,0,0,0,,,,Priyansh Arya,caught,,,,,DL Chahar,20.0,196.0,27
Punjab Kings,2,3,0.1,5.6,mandatory,C Connolly,AM Ghazanfar,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,27
Punjab Kings,2,4,0.1,5.6,mandatory,C Connolly,AM Ghazanfar,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,27
Punjab Kings,2,5,0.1,5.6,mandatory,C Connolly,AM Ghazanfar,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,27
Punjab Kings,2,6,0.1,5.6,mandatory,C Connolly,AM Ghazanfar,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,27
Punjab Kings,3,1,0.1,5.6,mandatory,P Simran Singh,HH Pandya,C Connolly,1,0,1,,,,,,,,,,,20.0,196.0,28
Punjab Kings,3,2,0.1,5.6,mandatory,C Connolly,HH Pandya,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,32
Punjab Kings,3,3,0.1,5.6,mandatory,C Connolly,HH Pandya,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,32
Punjab Kings,3,4,0.1,5.6,mandatory,C Connolly,HH Pandya,P Simran Singh,6,0,6,,,,,,,,,,,20.0,196.0,38
Punjab Kings,3,5,0.1,5.6,mandatory,C Connolly,HH Pandya,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,38
Punjab Kings,3,6,0.1,5.6,mandatory,C Connolly,HH Pandya,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,39
Punjab Kings,4,1,0.1,5.6,mandatory,C Connolly,AM Ghazanfar,P Simran Singh,6,0,6,,,,,,,,,,,20.0,196.0,45
Punjab Kings,4,2,0.1,5.6,mandatory,C Connolly,AM Ghazanfar,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,45
Punjab Kings,4,3,0.1,5.6,mandatory,C Connolly,AM Ghazanfar,P Simran Singh,0,0,0,,,,C Connolly,caught,,,,,Q de Kock,20.0,196.0,45
Punjab Kings,4,4,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,49
Punjab Kings,4,5,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,2,0,2,,,,,,,,,,,20.0,196.0,51
Punjab Kings,4,6,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,52
Punjab Kings,5,1,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,52
Punjab Kings,5,2,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,56
