team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,2,1,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,6,0,6,,,,,,,,,,,,,,,20.0,193.0,26
Royal Challengers Bengaluru,2,2,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,4,0,4,,,,,,,,,,,,,,,20.0,193.0,30
Royal Challengers Bengaluru,2,3,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,4,0,4,,,,,,,,,,,,,,,20.0,193.0,34
Royal Challengers Bengaluru,2,4,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,34
Royal Challengers Bengaluru,2,5,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,1,0,1,,,,,,,,,,,,,,,20.0,193.0,35
Royal Challengers Bengaluru,2,6,0.1,5.7,mandatory,V Kohli,SR Dubey,JG Bethell,1,0,1,,,,,,,,,,,,,,,20.0,193.0,36
Royal Challengers Bengaluru,3,1,0.1,5.7,mandatory,V Kohli,Kartik Tyagi,JG Bethell,1,0,1,,,,,,,,,,,,,,,20.0,193.0,37
Royal Challengers Bengaluru,3,2,0.1,5.7,mandatory,JG Bethell,Kartik Tyagi,V Kohli,0,0,0,,,,,,,,JG Bethell,caught and bowled,,,,,,20.0,193.0,37
Royal Challengers Bengaluru,3,3,0.1,5.7,mandatory,D Padikkal,Kartik Tyagi,V Kohli,4,0,4,,,,,,,,,,,,,,,20.0,193.0,41
Royal Challengers Bengaluru,3,4,0.1,5.7,mandatory,D Padikkal,Kartik Tyagi,V Kohli,4,0,4,,,,,,,,,,,,,,,20.0,193.0,45
Royal Challengers Bengaluru,3,5,0.1,5.7,mandatory,D Padikkal,Kartik Tyagi,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,45
Royal Challengers Bengaluru,3,6,0.1,5.7,mandatory,D Padikkal,Kartik Tyagi,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,45
Royal Challengers Bengaluru,4,1,0.1,5.7,mandatory,V Kohli,SP Narine,D Padikkal,1,0,1,,,,,,,,,,,,,,,20.0,193.0,46
Royal Challengers Bengaluru,4,2,0.1,5.7,mandatory,D Padikkal,SP Narine,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,46
Royal Challengers Bengaluru,4,3,0.1,5.7,mandatory,D Padikkal,SP Narine,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,20.0,193.0,47
Royal Challengers Bengaluru,4,4,0.1,5.7,mandatory,V Kohli,SP Narine,D Padikkal,1,0,1,,,,,,,,,,,,,,,20.0,193.0,48
Royal Challengers Bengaluru,4,5,0.1,5.7,mandatory,D Padikkal,SP Narine,V Kohli,4,0,4,,,,,,,,,,,,,,,20.0,193.0,52
Royal Challengers Bengaluru,4,6,0.1,5.7,mandatory,D Padikkal,SP Narine,V Kohli,4,0,4,,,,,,,,,,,,,,,20.0,193.0,56
Royal Challengers Bengaluru,5,1,0.1,5.7,mandatory,V Kohli,Kartik Tyagi,D Padikkal,0,1,1,,1.0,,,,,,,,,,,,,20.0,193.0,57
Royal Challengers Bengaluru,5,2,0.1,5.7,mandatory,V Kohli,Kartik Tyagi,D Padikkal,0,0,0,,,,,,,,,,,,,,,20.0,193.0,57
Royal Challengers Bengaluru,5,3,0.1,5.7,mandatory,V Kohli,Kartik Tyagi,D Padikkal,2,0,2,,,,,,,,,,,,,,,20.0,193.0,59
Royal Challengers Bengaluru,5,4,0.1,5.7,mandatory,V Kohli,Kartik Tyagi,D Padikkal,6,0,6,,,,,,,,,,,,,,,20.0,193.0,65
Royal Challengers Bengaluru,5,5,0.1,5.7,mandatory,V Kohli,Kartik Tyagi,D Padikkal,1,0,1,,,,,,,,,,,,,,,20.0,193.0,66
Royal Challengers Bengaluru,5,6,0.1,5.7,mandatory,D Padikkal,Kartik Tyagi,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,66
Royal Challengers Bengaluru,5,7,0.1,5.7,mandatory,D Padikkal,Kartik Tyagi,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,66
Royal Challengers Bengaluru,6,1,0.1,5.7,mandatory,V Kohli,SP Narine,D Padikkal,0,0,0,,,,,,,,,,,,,,,20.0,193.0,66
Royal Challengers Bengaluru,6,2,0.1,5.7,mandatory,V Kohli,SP Narine,D Padikkal,2,0,2,,,,,,,,,,,,,,,20.0,193.0,68
Royal Challengers Bengaluru,6,3,0.1,5.7,mandatory,V Kohli,SP Narine,D Padikkal,0,0,0,,,,,,,,,,,,,,,20.0,193.0,68
Royal Challengers Bengaluru,6,4,0.1,5.7,mandatory,V Kohli,SP Narine,D Padikkal,1,0,1,,,,,,,,,,,,,,,20.0,193.0,69
Royal Challengers Bengaluru,6,5,0.1,5.7,mandatory,D Padikkal,SP Narine,V Kohli,1,0,1,,,,,,,,,,,,,,,20.0,193.0,70
Royal Challengers Bengaluru,6,6,0.1,5.7,mandatory,V Kohli,SP Narine,D Padikkal,1,0,1,,,,,,,,,,,,,,,20.0,193.0,71
