team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,19,5,0.1,5.8,mandatory,Mohammed Shami,A Kamboj,Shahbaz Ahmed,0,0,0,,,,,,,,,,Mohammed Shami,run out,,,,,SV Samson,,,,197
Lucknow Super Giants,19,6,0.1,5.8,mandatory,Mohammed Shami,A Kamboj,Shahbaz Ahmed,0,0,0,,,,,,,,,,Mohammed Shami,run out,,,,,A Kamboj,,,,197
Lucknow Super Giants,19,7,0.1,5.8,mandatory,Shahbaz Ahmed,A Kamboj,Avesh Khan,6,0,6,,,,,,,,,,,,Avesh Khan,JP Inglis,Lucknow Super Giants,impact_player,,,,,203
Chennai Super Kings,0,1,0.1,5.7,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,0
Chennai Super Kings,0,2,0.1,5.7,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,4
Chennai Super Kings,0,3,0.1,5.7,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,5
Chennai Super Kings,0,4,0.1,5.7,mandatory,RD Gaikwad,Mohammed Shami,SV Samson,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,9
Chennai Super Kings,0,5,0.1,5.7,mandatory,RD Gaikwad,Mohammed Shami,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,10
Chennai Super Kings,0,6,0.1,5.7,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,11
Chennai Super Kings,1,1,0.1,5.7,mandatory,SV Samson,Prince Yadav,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,17
Chennai Super Kings,1,2,0.1,5.7,mandatory,SV Samson,Prince Yadav,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,18
Chennai Super Kings,1,3,0.1,5.7,mandatory,RD Gaikwad,Prince Yadav,SV Samson,2,0,2,,,,,,,,,,,,,,,,,,20.0,204.0,20
Chennai Super Kings,1,4,0.1,5.7,mandatory,RD Gaikwad,Prince Yadav,SV Samson,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,26
Chennai Super Kings,1,5,0.1,5.7,mandatory,RD Gaikwad,Prince Yadav,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,26
Chennai Super Kings,1,6,0.1,5.7,mandatory,RD Gaikwad,Prince Yadav,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,26
Chennai Super Kings,2,1,0.1,5.7,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,26
Chennai Super Kings,2,2,0.1,5.7,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,26
Chennai Super Kings,2,3,0.1,5.7,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,30
Chennai Super Kings,2,4,0.1,5.7,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,31
Chennai Super Kings,2,5,0.1,5.7,mandatory,RD Gaikwad,Mohammed Shami,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,31
Chennai Super Kings,2,6,0.1,5.7,mandatory,RD Gaikwad,Mohammed Shami,SV Samson,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,35
Chennai Super Kings,3,1,0.1,5.7,mandatory,SV Samson,DS Rathi,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,35
Chennai Super Kings,3,2,0.1,5.7,mandatory,SV Samson,DS Rathi,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,39
Chennai Super Kings,3,3,0.1,5.7,mandatory,SV Samson,DS Rathi,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,45
Chennai Super Kings,3,4,0.1,5.7,mandatory,SV Samson,DS Rathi,RD Gaikwad,0,0,0,,,,,,,,,,SV Samson,bowled,,,,,,,20.0,204.0,45
Chennai Super Kings,3,5,0.1,5.7,mandatory,Urvil Patel,DS Rathi,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,46
Chennai Super Kings,3,6,0.1,5.7,mandatory,RD Gaikwad,DS Rathi,Urvil Patel,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,47
Chennai Super Kings,4,1,0.1,5.7,mandatory,RD Gaikwad,Avesh Khan,Urvil Patel,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,53
Chennai Super Kings,4,2,0.1,5.7,mandatory,RD Gaikwad,Avesh Khan,Urvil Patel,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,53
Chennai Super Kings,4,3,0.1,5.7,mandatory,RD Gaikwad,Avesh Khan,Urvil Patel,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,54
Chennai Super Kings,4,4,0.1,5.7,mandatory,Urvil Patel,Avesh Khan,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,60
Chennai Super Kings,4,5,0.1,5.7,mandatory,Urvil Patel,Avesh Khan,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,66
