team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,legbyes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,4,8,0.1,5.7,mandatory,MP Stoinis,Sakib Hussain,C Connolly,6,0,6,,,,,,,,,,,,20.0,236.0,48
Punjab Kings,5,1,0.1,5.7,mandatory,C Connolly,E Malinga,MP Stoinis,4,0,4,,,,,,,,,,,,20.0,236.0,52
Punjab Kings,5,2,0.1,5.7,mandatory,C Connolly,E Malinga,MP Stoinis,4,0,4,,,,,,,,,,,,20.0,236.0,56
Punjab Kings,5,3,0.1,5.7,mandatory,C Connolly,E Malinga,MP Stoinis,0,1,1,1.0,,,,,,,,,,,20.0,236.0,57
Punjab Kings,5,4,0.1,5.7,mandatory,C Connolly,E Malinga,MP Stoinis,0,0,0,,,,,,,,,,,,20.0,236.0,57
Punjab Kings,5,5,0.1,5.7,mandatory,C Connolly,E Malinga,MP Stoinis,0,0,0,,,,,,,,,,,,20.0,236.0,57
Punjab Kings,5,6,0.1,5.7,mandatory,C Connolly,E Malinga,MP Stoinis,0,0,0,,,,,,,,,,,,20.0,236.0,57
Punjab Kings,5,7,0.1,5.7,mandatory,C Connolly,E Malinga,MP Stoinis,0,0,0,,,,,,,,,,,,20.0,236.0,57
Punjab Kings,6,1,0.1,5.7,mandatory,MP Stoinis,Shivang Kumar,C Connolly,2,0,2,,,,,,,,,,,,20.0,236.0,59
Punjab Kings,6,2,0.1,5.7,mandatory,MP Stoinis,Shivang Kumar,C Connolly,4,0,4,,,,,,,,,,,,20.0,236.0,63
Punjab Kings,6,3,0.1,5.7,mandatory,MP Stoinis,Shivang Kumar,C Connolly,0,0,0,,,,,,,,,,,,20.0,236.0,63
Punjab Kings,6,4,0.1,5.7,mandatory,MP Stoinis,Shivang Kumar,C Connolly,0,0,0,,,,,MP Stoinis,caught,,,,,Ishan Kishan,20.0,236.0,63
Punjab Kings,6,5,0.1,5.7,mandatory,Suryansh Shedge,Shivang Kumar,C Connolly,1,0,1,,,,,,,,,,,,20.0,236.0,64
