team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,12,10,0.1,5.7,mandatory,V Kohli,SN Thakur,RM Patidar,2,0,2,,,,,,,,,,,,,,,,,,,,,,167
Royal Challengers Bengaluru,13,1,0.1,5.7,mandatory,RM Patidar,TA Boult,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,171
Royal Challengers Bengaluru,13,2,0.1,5.7,mandatory,RM Patidar,TA Boult,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,172
Royal Challengers Bengaluru,13,3,0.1,5.7,mandatory,RM Patidar,TA Boult,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,178
Royal Challengers Bengaluru,13,4,0.1,5.7,mandatory,RM Patidar,TA Boult,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,179
Royal Challengers Bengaluru,13,5,0.1,5.7,mandatory,V Kohli,TA Boult,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,,,,,180
Royal Challengers Bengaluru,13,6,0.1,5.7,mandatory,RM Patidar,TA Boult,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,181
Royal Challengers Bengaluru,13,7,0.1,5.7,mandatory,V Kohli,TA Boult,RM Patidar,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,182
Royal Challengers Bengaluru,13,8,0.1,5.7,mandatory,V Kohli,TA Boult,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,,,,,183
Royal Challengers Bengaluru,14,1,0.1,5.7,mandatory,V Kohli,HH Pandya,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,,,,,,183
Royal Challengers Bengaluru,14,2,0.1,5.7,mandatory,V Kohli,HH Pandya,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,,,,,184
Royal Challengers Bengaluru,14,3,0.1,5.7,mandatory,RM Patidar,HH Pandya,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,185
Royal Challengers Bengaluru,14,4,0.1,5.7,mandatory,V Kohli,HH Pandya,RM Patidar,0,0,0,,,,,,,,,V Kohli,caught,,,,,,,,,SA Yadav,,,185
Royal Challengers Bengaluru,14,5,0.1,5.7,mandatory,TH David,HH Pandya,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,,,,,186
Royal Challengers Bengaluru,14,6,0.1,5.7,mandatory,RM Patidar,HH Pandya,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,,,187
Royal Challengers Bengaluru,15,1,0.1,5.7,mandatory,RM Patidar,MJ Santner,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,,,188
Royal Challengers Bengaluru,15,2,0.1,5.7,mandatory,TH David,MJ Santner,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,,,,,189
Royal Challengers Bengaluru,15,3,0.1,5.7,mandatory,RM Patidar,MJ Santner,TH David,4,0,4,,,,,,,,,,,,,,,,,,,,,,193
Royal Challengers Bengaluru,15,4,0.1,5.7,mandatory,RM Patidar,MJ Santner,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,,,193
Royal Challengers Bengaluru,15,5,0.1,5.7,mandatory,RM Patidar,MJ Santner,TH David,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,194
Royal Challengers Bengaluru,15,6,0.1,5.7,mandatory,RM Patidar,MJ Santner,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,,,194
Royal Challengers Bengaluru,15,7,0.1,5.7,mandatory,RM Patidar,MJ Santner,TH David,0,0,0,,,,,,,,,RM Patidar,caught,,,,,,,,,Tilak Varma,,,194
Royal Challengers Bengaluru,16,1,0.1,5.7,mandatory,TH David,JJ Bumrah,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,,,195
Royal Challengers Bengaluru,16,2,0.1,5.7,mandatory,JM Sharma,JJ Bumrah,TH David,4,0,4,,,,,,,,,,,,,,,,,,,,,,199
Royal Challengers Bengaluru,16,3,0.1,5.7,mandatory,JM Sharma,JJ Bumrah,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,,,199
Royal Challengers Bengaluru,16,4,0.1,5.7,mandatory,JM Sharma,JJ Bumrah,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,,,199
