team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,5,3,0.1,5.6,mandatory,Dhruv Jurel,LH Ferguson,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,73
Rajasthan Royals,5,4,0.1,5.6,mandatory,Dhruv Jurel,LH Ferguson,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,79
Rajasthan Royals,5,5,0.1,5.6,mandatory,Dhruv Jurel,LH Ferguson,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,80
Rajasthan Royals,5,6,0.1,5.6,mandatory,YBK Jaiswal,LH Ferguson,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,84
Rajasthan Royals,6,1,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,84
Rajasthan Royals,6,2,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,85
Rajasthan Royals,6,3,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,86
Rajasthan Royals,6,4,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,87
Rajasthan Royals,6,5,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,Dhruv Jurel,2,0,2,,,,,,,,,,,,,,,,,20.0,223.0,89
Rajasthan Royals,6,6,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,90
Rajasthan Royals,7,1,0.1,5.6,mandatory,YBK Jaiswal,YS Chahal,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,91
