team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,16,7,0.1,5.6,mandatory,Nithish Kumar Reddy,KH Pandya,Ishan Kishan,2,0,2,,,,,,,,,,,,,,,,,,,225
Sunrisers Hyderabad,17,1,0.1,5.6,mandatory,Ishan Kishan,JR Hazlewood,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,226
Sunrisers Hyderabad,17,2,0.1,5.6,mandatory,Nithish Kumar Reddy,JR Hazlewood,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,227
Sunrisers Hyderabad,17,3,0.1,5.6,mandatory,Ishan Kishan,JR Hazlewood,Nithish Kumar Reddy,4,0,4,,,,,,,,,,,,,,,,,,,231
Sunrisers Hyderabad,17,4,0.1,5.6,mandatory,Ishan Kishan,JR Hazlewood,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,,,,,,231
Sunrisers Hyderabad,17,5,0.1,5.6,mandatory,Ishan Kishan,JR Hazlewood,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,232
Sunrisers Hyderabad,17,6,0.1,5.6,mandatory,Nithish Kumar Reddy,JR Hazlewood,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,238
Sunrisers Hyderabad,18,1,0.1,5.6,mandatory,Ishan Kishan,B Kumar,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,239
Sunrisers Hyderabad,18,2,0.1,5.6,mandatory,Nithish Kumar Reddy,B Kumar,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,240
Sunrisers Hyderabad,18,3,0.1,5.6,mandatory,Ishan Kishan,B Kumar,Nithish Kumar Reddy,4,0,4,,,,,,,,,,,,,,,,,,,244
Sunrisers Hyderabad,18,4,0.1,5.6,mandatory,Ishan Kishan,B Kumar,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,245
Sunrisers Hyderabad,18,5,0.1,5.6,mandatory,Nithish Kumar Reddy,B Kumar,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,245
Sunrisers Hyderabad,18,6,0.1,5.6,mandatory,Nithish Kumar Reddy,B Kumar,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,246
Sunrisers Hyderabad,19,1,0.1,5.6,mandatory,Nithish Kumar Reddy,Rasikh Salam,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,247
Sunrisers Hyderabad,19,2,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,248
Sunrisers Hyderabad,19,3,0.1,5.6,mandatory,Nithish Kumar Reddy,Rasikh Salam,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,,252
Sunrisers Hyderabad,19,4,0.1,5.6,mandatory,Nithish Kumar Reddy,Rasikh Salam,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,,,,,,253
Sunrisers Hyderabad,19,5,0.1,5.6,mandatory,Nithish Kumar Reddy,Rasikh Salam,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,,,,,,254
Sunrisers Hyderabad,19,6,0.1,5.6,mandatory,Nithish Kumar Reddy,Rasikh Salam,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,255
Sunrisers Hyderabad,19,7,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,,,,,,255
Sunrisers Hyderabad,19,8,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,Nithish Kumar Reddy,0,0,0,,,,,,,,,Ishan Kishan,caught,,,,,D Padikkal,,,,255
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,VR Iyer,PJ Cummins,V Kohli,2,0,2,,,,,,,,,,,HV Patel,S Arora,Sunrisers Hyderabad,impact_player,,,20.0,256.0,2
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,VR Iyer,PJ Cummins,V Kohli,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,3
