team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,byes,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Chennai Super Kings,7,1,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,70
Chennai Super Kings,7,2,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,71
Chennai Super Kings,7,3,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Kartik Sharma,2,0,2,,,,,,,,,,,,20.0,160.0,73
Chennai Super Kings,7,4,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,74
Chennai Super Kings,7,5,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,74
Chennai Super Kings,7,6,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,6,0,6,,,,,,,,,,,,20.0,160.0,80
Chennai Super Kings,8,1,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,0,0,0,,,,,,,,,,,,20.0,160.0,80
Chennai Super Kings,8,2,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,2,0,2,,,,,,,,,,,,20.0,160.0,82
Chennai Super Kings,8,3,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,83
Chennai Super Kings,8,4,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,83
Chennai Super Kings,8,5,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,84
Chennai Super Kings,8,6,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,85
