team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,18,4,0.1,5.7,mandatory,Dhruv Jurel,MA Starc,MD Shanaka,1,0,1,,,,,,,,,,,,,,,,,,187
Rajasthan Royals,18,5,0.1,5.7,mandatory,MD Shanaka,MA Starc,Dhruv Jurel,0,0,0,,,,,,,,,MD Shanaka,caught,,,,,T Stubbs,,,187
Rajasthan Royals,18,6,0.1,5.7,mandatory,JC Archer,MA Starc,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,188
Rajasthan Royals,19,1,0.1,5.7,mandatory,JC Archer,L Ngidi,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,189
Rajasthan Royals,19,2,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,JC Archer,0,0,0,,,,,,,,,,,,,,,,,,189
Rajasthan Royals,19,3,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,JC Archer,2,0,2,,,,,,,,,,,,,,,,,,191
Rajasthan Royals,19,4,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,JC Archer,0,0,0,,,Rajasthan Royals,Amit Rana,Dhruv Jurel,struck down,wicket,,Dhruv Jurel,lbw,,,,,,,,191
Rajasthan Royals,19,5,0.1,5.7,mandatory,AF Milne,L Ngidi,JC Archer,0,0,0,,,,,,,,,,,,,,,,,,191
Rajasthan Royals,19,6,0.1,5.7,mandatory,AF Milne,L Ngidi,JC Archer,2,0,2,,,,,,,,,,,,,,,,,,193
Delhi Capitals,0,1,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,0,5,5,5.0,,,,,,,,,,,,,,,20.0,194.0,5
Delhi Capitals,0,2,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,6
Delhi Capitals,0,3,0.1,5.6,mandatory,KL Rahul,JC Archer,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,7
Delhi Capitals,0,4,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,4,0,4,,,,,,,,,,,,,,,,20.0,194.0,11
Delhi Capitals,0,5,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,0,1,1,1.0,,,,,,,,,,,,,,,20.0,194.0,12
Delhi Capitals,0,6,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,0,0,0,,,,,,,,,,,,,,,,20.0,194.0,12
Delhi Capitals,0,7,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,13
Delhi Capitals,0,8,0.1,5.6,mandatory,KL Rahul,JC Archer,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,14
Delhi Capitals,1,1,0.1,5.6,mandatory,KL Rahul,AF Milne,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,15
Delhi Capitals,1,2,0.1,5.6,mandatory,Abishek Porel,AF Milne,KL Rahul,4,0,4,,,,,,,,,,,,,,,,20.0,194.0,19
Delhi Capitals,1,3,0.1,5.6,mandatory,Abishek Porel,AF Milne,KL Rahul,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,20
Delhi Capitals,1,4,0.1,5.6,mandatory,KL Rahul,AF Milne,Abishek Porel,5,0,5,,,,,,,,,,,,,,,,20.0,194.0,25
Delhi Capitals,1,5,0.1,5.6,mandatory,Abishek Porel,AF Milne,KL Rahul,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,26
Delhi Capitals,1,6,0.1,5.6,mandatory,KL Rahul,AF Milne,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,27
Delhi Capitals,2,1,0.1,5.6,mandatory,KL Rahul,JC Archer,Abishek Porel,4,0,4,,,,,,,,,,,,,,,,20.0,194.0,31
Delhi Capitals,2,2,0.1,5.6,mandatory,KL Rahul,JC Archer,Abishek Porel,0,0,0,,,,,,,,,,,,,,,,20.0,194.0,31
Delhi Capitals,2,3,0.1,5.6,mandatory,KL Rahul,JC Archer,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,32
Delhi Capitals,2,4,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,0,0,0,,,,,,,,,,,,,,,,20.0,194.0,32
Delhi Capitals,2,5,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,0,0,0,,,,,,,,,,,,,,,,20.0,194.0,32
Delhi Capitals,2,6,0.1,5.6,mandatory,Abishek Porel,JC Archer,KL Rahul,6,0,6,,,,,,,,,,,,,,,,20.0,194.0,38
Delhi Capitals,3,1,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,39
Delhi Capitals,3,2,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,4,0,4,,,,,,,,,,,,,,,,20.0,194.0,43
Delhi Capitals,3,3,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,4,0,4,,,,,,,,,,,,,,,,20.0,194.0,47
Delhi Capitals,3,4,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,0,0,0,,,,,,,,,,,,,,,,20.0,194.0,47
Delhi Capitals,3,5,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,0,1,1,1.0,,,,,,,,,,,,,,,20.0,194.0,48
Delhi Capitals,3,6,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,49
Delhi Capitals,3,7,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,50
Delhi Capitals,4,1,0.1,5.6,mandatory,KL Rahul,AF Milne,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,51
Delhi Capitals,4,2,0.1,5.6,mandatory,Abishek Porel,AF Milne,KL Rahul,0,1,1,,,,,,,,1.0,,,,,,,,20.0,194.0,52
Delhi Capitals,4,3,0.1,5.6,mandatory,KL Rahul,AF Milne,Abishek Porel,6,0,6,,,,,,,,,,,,,,,,20.0,194.0,58
Delhi Capitals,4,4,0.1,5.6,mandatory,KL Rahul,AF Milne,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,59
Delhi Capitals,4,5,0.1,5.6,mandatory,Abishek Porel,AF Milne,KL Rahul,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,60
Delhi Capitals,4,6,0.1,5.6,mandatory,KL Rahul,AF Milne,Abishek Porel,0,0,0,,,,,,,,,,,,,,,,20.0,194.0,60
Delhi Capitals,5,1,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,61
Delhi Capitals,5,2,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,62
Delhi Capitals,5,3,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,63
Delhi Capitals,5,4,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,64
Delhi Capitals,5,5,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,4,0,4,,,,,,,,,,,,,,,,20.0,194.0,68
Delhi Capitals,5,6,0.1,5.6,mandatory,Abishek Porel,Brijesh Sharma,KL Rahul,4,0,4,,,,,,,,,,,,,,,,20.0,194.0,72
Delhi Capitals,6,1,0.1,5.6,mandatory,KL Rahul,MD Shanaka,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,20.0,194.0,73
