team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,12,4,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,129
Gujarat Titans,12,5,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,129
Gujarat Titans,12,6,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,129
Gujarat Titans,13,1,0.1,5.6,mandatory,B Sai Sudharsan,Noor Ahmad,JC Buttler,4,0,4,,,,,,,,,,,,,,,,,,133
Gujarat Titans,13,2,0.1,5.6,mandatory,B Sai Sudharsan,Noor Ahmad,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,134
Gujarat Titans,13,3,0.1,5.6,mandatory,JC Buttler,Noor Ahmad,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,140
Gujarat Titans,13,4,0.1,5.6,mandatory,JC Buttler,Noor Ahmad,B Sai Sudharsan,2,0,2,,,,,,,,,,,,,,,,,,142
Gujarat Titans,13,5,0.1,5.6,mandatory,JC Buttler,Noor Ahmad,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,143
Gujarat Titans,13,6,0.1,5.6,mandatory,B Sai Sudharsan,Noor Ahmad,JC Buttler,0,2,2,2.0,,,,,,,,,,,,,,,,,145
Gujarat Titans,13,7,0.1,5.6,mandatory,JC Buttler,Noor Ahmad,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,151
Gujarat Titans,14,1,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,,151
Gujarat Titans,14,2,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,152
Gujarat Titans,14,3,0.1,5.6,mandatory,JC Buttler,Mukesh Choudhary,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,158
Gujarat Titans,14,4,0.1,5.6,mandatory,JC Buttler,Mukesh Choudhary,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,158
Gujarat Titans,14,5,0.1,5.6,mandatory,JC Buttler,Mukesh Choudhary,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,159
Gujarat Titans,14,6,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,,159
Gujarat Titans,15,1,0.1,5.6,mandatory,JC Buttler,A Kamboj,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,160
Gujarat Titans,15,2,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,JC Buttler,4,0,4,,,,,,,,,,,,,,,,,,164
Gujarat Titans,15,3,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,JC Buttler,0,1,1,1.0,,,,,,,,,,,,,,,,,165
Gujarat Titans,15,4,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,166
Gujarat Titans,15,5,0.1,5.6,mandatory,JC Buttler,A Kamboj,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,167
Gujarat Titans,15,6,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,JC Buttler,6,0,6,,,,,,,,,,,,,,,,,,173
Gujarat Titans,15,7,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,,173
Gujarat Titans,16,1,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,179
Gujarat Titans,16,2,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,,,,,,,180
Gujarat Titans,16,3,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,180
Gujarat Titans,16,4,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,181
Gujarat Titans,16,5,0.1,5.6,mandatory,B Sai Sudharsan,SH Johnson,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,182
Gujarat Titans,16,6,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,183
Gujarat Titans,16,7,0.1,5.6,mandatory,B Sai Sudharsan,SH Johnson,JC Buttler,1,1,2,,,1.0,,,,,,,,,,,,,,,185
Gujarat Titans,16,8,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,186
Gujarat Titans,17,1,0.1,5.6,mandatory,JC Buttler,Gurjapneet Singh,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,,,,,,,187
Gujarat Titans,17,2,0.1,5.6,mandatory,JC Buttler,Gurjapneet Singh,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,188
Gujarat Titans,17,3,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,189
Gujarat Titans,17,4,0.1,5.6,mandatory,JC Buttler,Gurjapneet Singh,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,190
Gujarat Titans,17,5,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,JC Buttler,6,0,6,,,,,,,,,,,,,,,,,,196
Gujarat Titans,17,6,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,197
Gujarat Titans,17,7,0.1,5.6,mandatory,JC Buttler,Gurjapneet Singh,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,201
Gujarat Titans,18,1,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,JC Buttler,6,0,6,,,,,,,,,,,,,,,,,,207
Gujarat Titans,18,2,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,JC Buttler,0,0,0,,,,,,,,,B Sai Sudharsan,caught,,,,,MW Short,,,207
Gujarat Titans,18,3,0.1,5.6,mandatory,R Tewatia,A Kamboj,JC Buttler,0,0,0,,,,,,,,,R Tewatia,run out,,,,,RD Gaikwad,,,207
Gujarat Titans,18,4,0.1,5.6,mandatory,JC Buttler,A Kamboj,Washington Sundar,4,0,4,,,,,,,,,,,,,,,,,,211
Gujarat Titans,18,5,0.1,5.6,mandatory,JC Buttler,A Kamboj,Washington Sundar,4,0,4,,,,,,,,,,,,,,,,,,215
Gujarat Titans,18,6,0.1,5.6,mandatory,JC Buttler,A Kamboj,Washington Sundar,0,1,1,,1.0,,Chennai Super Kings,Nitin Menon,JC Buttler,struck down,wicket,,,,,,,,,,216
Gujarat Titans,19,1,0.1,5.6,mandatory,JC Buttler,Mukesh Choudhary,Washington Sundar,4,0,4,,,,,,,,,,,,,,,,,,220
Gujarat Titans,19,2,0.1,5.6,mandatory,JC Buttler,Mukesh Choudhary,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,221
Gujarat Titans,19,3,0.1,5.6,mandatory,Washington Sundar,Mukesh Choudhary,JC Buttler,6,0,6,,,,,,,,,,,,,,,,,,227
Gujarat Titans,19,4,0.1,5.6,mandatory,Washington Sundar,Mukesh Choudhary,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,228
Gujarat Titans,19,5,0.1,5.6,mandatory,JC Buttler,Mukesh Choudhary,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,229
Gujarat Titans,19,6,0.1,5.6,mandatory,Washington Sundar,Mukesh Choudhary,JC Buttler,0,0,0,,,,,,,,,Washington Sundar,caught,,,,,Urvil Patel,,,229
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,Mohammed Siraj,MW Short,0,0,0,,,,,,,,,SV Samson,caught,M Prasidh Krishna,R Tewatia,Gujarat Titans,impact_player,JC Buttler,20.0,230.0,0
Chennai Super Kings,0,2,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,MW Short,0,0,0,,,,,,,,,,,,,,,,20.0,230.0,0
Chennai Super Kings,0,3,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,MW Short,0,0,0,,,,,,,,,,,,,,,,20.0,230.0,0
Chennai Super Kings,0,4,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,MW Short,4,0,4,,,,,,,,,,,,,,,,20.0,230.0,4
Chennai Super Kings,0,5,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,MW Short,6,0,6,,,,,,,,,,,,,,,,20.0,230.0,10
